lambda,seed,n,transport_mse,radial_target_mse,trajectory_intersections
0.0,17,160,8.004733361385853,0.11131388254213448,656
0.0,23,160,8.437717589975083,0.1262382863658566,678
0.0,31,160,8.268681724448914,0.15264629571513036,605
0.2,17,160,8.004733361385853,0.11131388254213448,656
0.2,23,160,8.437717589975083,0.1262382863658566,678
0.2,31,160,8.268681724448914,0.15264629571513036,605
1.0,17,160,8.004733361385853,0.11131388254213448,656
1.0,23,160,8.437717589975083,0.1262382863658566,678
1.0,31,160,8.268681724448914,0.15264629571513036,605
